,text,cluster_name
1336,恩，全名是什么,"0,0,0,0,0,1,0,0,0"
20482,您好，可以的，这个是我们医院的金牌整形项目之一,"0,0,0,0,0,0,0,0,1"
29366,如果凸起比较大的 可以做切除 ,"0,0,0,0,0,0,0,0,1"
24109,嗯嗯，是什么颜色的，有去面诊医生看过吗,"0,0,1,0,0,0,0,0,0"
18760,效果是叠加的,"0,1,0,0,0,0,0,0,0"
26431,大腿 小腿 还是脚趾 脚背呢？,"0,1,0,0,0,0,0,0,0"
25981,29岁还是很青春的年龄呢。,"0,1,0,0,0,0,0,0,0"
2819,为了更好地给你分析解答，我先了解下你的基本情况,"0,0,1,0,0,0,0,0,0"
23942,理解您的担心的 脂肪丰胸我们医院做了20多年了,"0,0,0,0,0,0,0,0,1"
5702,眼线有内眼线 美瞳线多种不同的效果 费用也有区别,"0,0,0,0,0,0,0,0,1"
15324,医院也不会开展22年，您说呢 早就倒闭了吧,"0,1,0,0,0,0,0,0,0"
2263,恩，白癜风分期，分型，分类，很多种，那治疗方案也是很多种，我们建议是先检查清楚病因，去采取适合的方案的,"0,0,0,0,0,0,0,0,1"
19804,您之前有去医院面诊检查过您的斑点是什么样的呢,"1,0,0,0,0,0,0,0,0"
3572,膨体的九千多了，这个你自己选择了，我们会结合你现有的基础条件帮你选择，这就好比如我们最常见的手机一样，你能说两三千的手机比苹果手机差吗,"0,0,0,0,0,0,0,1,0"
10832,睫毛种植的话我们医院是按照技术项目来收费的,"0,0,0,0,0,0,0,1,0"
3411,文字表达比较局限 你的电话多少呢 我添加您微信,"0,0,0,0,1,0,0,0,0"
10828,积液多少呢？,"0,0,1,0,0,0,0,0,0"
17590,你微信多少呀，我加你吧,"0,0,0,0,1,0,0,0,0"
910,耳软骨做不了鼻梁,"0,1,0,0,0,0,0,0,0"
1343,恩，你微信号多少,"0,0,0,0,1,0,0,0,0"
24690,方便加个微信吗？发张照片给我看下，我给您更专业的分析一下,"0,0,0,0,1,0,0,0,0"
28956,术后忌辛辣及烟酒，避免上肢上举动作、提重物或高抬上臂 、蒸气浴及游泳等，以及不可剧烈的运动,"0,0,0,0,0,0,0,0,1"
4596,你好，想咨询什么方面的问题,"0,0,0,1,0,0,0,0,0"
18651,抱歉可能网络不太稳定，您掉线了，你微信多少呢？我加你微信详细介绍,"0,0,0,0,1,0,0,0,0"
27313,现在做这些的都是小老百姓呢，咱们可以0首付分期付款的,"0,1,0,0,0,0,0,0,0"
23108,您贵姓呢，联系方式多少呢，我这边帮您登记优惠名额给您,"0,0,0,0,1,0,0,0,0"
21726,你主要想了解什么呢？,"0,0,0,1,0,0,0,0,0"
7731,现在看着还有红色的胎记吗？,"0,0,1,0,0,0,0,0,0"
30700,是对脸部哪里不满意？  ,"0,0,1,0,0,0,0,0,0"
8502,17701693713我的电话也是微信,"0,1,0,0,0,0,0,0,0"
9014,恩，  现在都有什么症状呢,"0,0,1,0,0,0,0,0,0"
9538,那这样是偏胖的呢,"0,1,0,0,0,0,0,0,0"
10562,您好，是有 发际线植发 相关问题咨询吗？,"0,0,1,0,0,0,0,0,0"
17328,好的，  那很近的，你微信是多少呢，我加你，,"0,0,0,0,1,0,0,0,0"
12104,地铁以及预约号的话这边可以发送到你的手机短信上,"0,1,0,0,0,0,0,0,0"
17124,2116329188,"0,1,0,0,0,0,0,0,0"
12956,嗯 正常的白带是蛋清样的   无色无味  一旦生殖器官发生了病变  就会出现炎症的感染 会有发黄的情况,"0,1,0,0,0,0,0,0,0"
15672,要不给您电话 也是可以的,"0,0,0,0,1,0,0,0,0"
21317,你是天生的发育问题还是后来生育宝宝的因素导致的呢,"0,0,1,0,0,0,0,0,0"
13417,或者这样吧 您微信多少呢 我这边加您微信 看看您的脸部具体情况 给您建议 同时可以给我们医院的案例您参考,"0,0,0,0,1,0,0,0,0"
18462,这边你什么时候有空呢   我帮你预约一个免费见专家的名额,"0,0,0,0,0,0,1,0,0"
5275,这个号码是可以直接联系上你们的对吗？,"0,0,0,0,1,0,0,0,0"
27603,您目前身高 体重分别是多少呢,"0,0,0,0,0,1,0,0,0"
11293,症状出现之前你都说了有不洁性生活,"0,1,0,0,0,0,0,0,0"
6736,首先了解一下您基础情况 帮您针对性介绍,"0,0,1,0,0,0,0,0,0"
20191,可以，你微信多少,"0,0,0,0,1,0,0,0,0"
29732,咱们的丰胸见效快 注射完成后，半小时左右即可有明显变化；效果自然逼真，柔软性更好 ,"0,0,0,0,0,0,0,0,1"
28286,您多大 多少斤呢？,"0,0,0,0,0,1,0,0,0"
22334,您方便加我微信吗 我稍后帮您预约,"0,0,0,0,1,0,0,0,0"
1171,是想过性生活的时候，勃起没一会就软了对吧,"0,0,1,0,0,0,0,0,0"
13412,皮肤科是属于疾病类    隶属综合医院,"0,1,0,0,0,0,0,0,0"
15804,有面诊检查过吗、,"1,0,0,0,0,0,0,0,0"
16349,可以先过来面诊设计一下，,"0,0,0,0,0,0,1,0,0"
1014,之前对这方面有了解过吗？,"0,1,0,0,0,0,0,0,0"
3313,明天不是周六吗？你怎么还要上班,"0,1,0,0,0,0,0,0,0"
9529,可以的 小孩子多大了呢,"0,0,0,0,0,1,0,0,0"
26192,恩，您主要是想要改善皮肤什么问题呢,"0,0,1,0,0,0,0,0,0"
6282,目前身高比例多少呢,"0,0,0,0,0,1,0,0,0"
13617,有考虑广州这边改善吗？,"0,0,0,0,0,0,1,0,0"
13207,您是想要改善哪方面的问题呢？,"0,0,0,0,0,0,1,0,0"
18099,我们这边看到你是徐海燕顾客接待的，,"0,1,0,0,0,0,0,0,0"
15759,费用的话是要看您脂肪多少的,"0,0,0,0,0,0,0,1,0"
18713,您是想咨询哪方面呢,"0,0,0,1,0,0,0,0,0"
2585,您贵姓呢？,"0,0,0,0,0,1,0,0,0"
19876,之前有采用过什么方式治疗过吗,"1,0,0,0,0,0,0,0,0"
10230,要不您加我18002219685,"0,1,0,0,0,0,0,0,0"
8403,本身治疗安全无痛，治疗时间短暂,"0,1,0,0,0,0,0,0,0"
13607,嗯，额角的部位,"0,1,0,0,0,0,0,0,0"
25650,您的痣是在什么部位恩？,"0,0,1,0,0,0,0,0,0"
28814,咱们这边采用美肤激光技术祛雀斑样痣，治疗原理是将色素组织分解成碎片，吞噬细胞吸收，达到清除雀斑样痣的功效 ,"0,0,0,0,0,0,0,0,1"
18526,目前是穿多大的罩杯 想要达到什么样的效果呢,"0,0,0,1,0,0,0,0,0"
26444,亲爱的，方便说下您身高、体重是？,"0,0,0,0,0,1,0,0,0"
16796,恩恩 生育过小孩 会造成乳腺萎缩的 会造成胸部的松弛 手感不好的,"0,1,0,0,0,0,0,0,0"
19262,您是想要改善皮肤什么问题呢,"0,0,0,1,0,0,0,0,0"
14672,有的，你方便电话沟通吗？ 我打给你，详细讲解一下,"0,0,0,0,1,0,0,0,0"
10195,嗯   你在哪里做的,"0,1,0,0,0,0,0,0,0"
23387,您要预约咨询什么项目呢,"0,0,0,1,0,0,0,0,0"
23756,建议去当地医院检查一下看看的,"0,1,0,0,0,0,0,0,0"
6310,我让你的咨询医生给你回电,"0,1,0,0,0,0,0,0,0"
27805,您是刚开始考虑做这项改善吗？,"0,1,0,0,0,0,0,0,0"
327,嗯嗯，我院做的烤瓷牙都是有保障的，两年内不是人为损坏是免费保修，五年内只收材料成本费。您在其他医院都是没有这种保障的,"0,0,0,0,0,0,0,0,1"
9534,家长是考虑打算近期看诊吗，？,"0,0,0,0,0,0,1,0,0"
6492,您今天有时间吗？刚好我们鼻部专家6到8位今天都有会诊 可以在线帮您预约一个免费看诊号,"0,0,0,0,0,0,1,0,0"
8527,采用的是物理仪器，黑色素细胞消融技术，你有看到我给你发的信息了吗,"0,1,0,0,0,0,0,0,0"
14885,嗯，可以的。您目前的身高体重是多少呢，目前是多大罩杯呀,"0,0,0,0,0,1,0,0,0"
16845,有什么可以帮到您的,"0,1,0,0,0,0,0,0,0"
30717,亲 是先天肤色就暗沉 还是后天日晒导致的呢？,"0,0,1,0,0,0,0,0,0"
9252,您是在广州哪个区呢？我这边帮您查下地址路线 稍后一起发到您手机上的,"0,1,0,0,0,0,0,0,0"
6393,做的什么检查呢？,"1,0,0,0,0,0,0,0,0"
24436,好的，那您电话号码是多少呢，我明天白天打给您,"0,0,0,0,1,0,0,0,0"
11195,您的微信是多少呢  我添加您,"0,0,0,0,1,0,0,0,0"
19408,您之前有去医院检查过阴道松弛的情况吗,"1,0,0,0,0,0,0,0,0"
21251,"您登记在我们医院的电话是多少呢 我看下您的情况,以便更好的为您解答","0,0,0,0,1,0,0,0,0"
3148,不需要的，这边给你申请预约，到院可以优先安排的,"0,0,0,0,0,0,1,0,0"
2526,之前有没有去检查确诊过呢？,"1,0,0,0,0,0,0,0,0"
13283,现在多大年龄,"0,0,0,0,0,1,0,0,0"
4746,你好，你多大年纪了,"0,0,0,0,0,1,0,0,0"
24779,恩，是脸颊还是全脸呢,"0,0,0,1,0,0,0,0,0"
7299,可以等孩子满月的时候，实际带孩子过来会诊了解下,"0,0,0,0,0,0,1,0,0"
4257,嗯 这个情况在我院是常见的，采用的是TD多维神经疗法，目前在国内比较权威治   愈率达百分之九十八,"0,0,0,0,0,0,0,0,1"
9450,多大年龄了 生育了吗,"0,0,0,0,0,1,0,0,0"
30115,具体价格要看咱们选择的治疗方式哦,"0,0,0,0,0,0,0,1,0"
28510,咱们医院 以人体自身活源脂肪细胞为基础，采用多层次、多点式、立体、微量手法注射，注入后不断刺激原有脂肪细胞，促进乳房自身脂肪细胞持续生长 术后乳房饱满、挺拔、丰盈、弹润，手感真实 ,"0,0,0,0,0,0,0,0,1"
18742,皮肤受伤后会有色沉能理解吗,"0,1,0,0,0,0,0,0,0"
17492,您好！有什么可以帮助您！,"0,1,0,0,0,0,0,0,0"
23915,具体您可以过来医院面谈哦,"0,0,0,0,0,0,1,0,0"
17564,好的可以的,"0,1,0,0,0,0,0,0,0"
3935,人民医院没有专业额的泌尿内科  都是外科方面的 不是很擅长您的情况的,"0,1,0,0,0,0,0,0,0"
4852,好的，请稍等，怎么称呼你呢,"0,0,0,0,0,1,0,0,0"
24257,会给您介绍专业的医生,"0,1,0,0,0,0,0,0,0"
14147,是点状还是片状的呢？,"0,0,1,0,0,0,0,0,0"
11346,目前我们医院也有分期付款的政策,"0,1,0,0,0,0,0,0,0"
5539,???,"0,1,0,0,0,0,0,0,0"
15272,很年轻的， 您斑点出现有多长时间了呢,"0,0,1,0,0,0,0,0,0"
28693,CO2激光是一高能超脉冲剥脱式激光，其穿透深度正好能达到皮肤表皮层的厚度，可以气化表皮的色素，刺激真皮层胶原增生，令皮肤的色素和结构都得到长期的改善 ,"0,0,0,0,0,0,0,0,1"
21423,我先大致了解一下您的具体情况,"0,1,0,0,0,0,0,0,0"
26739,附近有地铁的,"0,1,0,0,0,0,0,0,0"
26286,您多大年纪了，是对鼻子哪里不满意呢,"0,0,1,0,0,0,0,0,0"
10852,是打算做结扎吗？,"0,0,0,0,0,0,1,0,0"
83,这些都是*到**万左右  其实不是说贵就是最好的,"0,0,0,0,0,0,0,1,0"
2374,检查单子在吗 我加你微信  帮你看一下,"0,0,0,0,1,0,0,0,0"
20833,您好，激光或者手术都可以的,"0,1,0,0,0,0,0,0,0"
24500,好的，林小姐还是先生，多大年纪,"0,0,0,0,0,1,0,0,0"
12752,我先了解下你目前的情况 、,"0,0,1,0,0,0,0,0,0"
4863,近期有在用药吗,"1,0,0,0,0,0,0,0,0"
25718,我们是电话预约制的，您的姓名+手机号码是多少呢？我先帮您登记优惠名额，把地址和路线发给您，这样也方便您保存,"0,0,0,0,0,1,0,0,0"
10375,请问你先生哪里的朋友呢,"0,1,0,0,0,0,0,0,0"
17051,您加了吗,"0,1,0,0,0,0,0,0,0"
28269,您都了解清楚了，回去考虑也是可以的呢,"0,1,0,0,0,0,0,0,0"
19568,根据痣的大小和性质定，普通的痣我们院的价格是30-50-100-200 一颗不等，其它肉痣等，200--500-1千多一颗，医生会根据痣在皮下的深浅程度来确认需要一次还是分次治疗，这样会更加干净和彻底，也不会出现留下疤痕的问题。,"0,0,0,0,0,0,0,1,0"
2066,你是想种植前额还是头顶的呢？,"0,0,0,1,0,0,0,0,0"
7807,你的检查单子在吗？,"1,0,0,0,0,0,0,0,0"
24826,嗯 好的 请问您贵姓呢,"0,0,0,0,0,1,0,0,0"
22162,是的  您电话多少呢？我这边帮您预约？,"0,0,0,0,1,0,0,0,0"
24724,您好，我这边先了解一下您的大概情况 再给您具体介绍,"0,1,0,0,0,0,0,0,0"
22354,我等会发给您看一下 您看看是否要过来  要的话就帮您预约过来咨询,"0,0,0,0,0,0,1,0,0"
29157,注射隆胸又称注射式丰胸，注射隆胸的方法是透过小针管把生物材料注射进去，是目前简单，手术时间较短的隆胸方法 ,"0,0,0,0,0,0,0,0,1"
14357,丰胸假体都是经过国家卫生机构严格审核，确认安全的前提下，才开始临床应用的。国际上最早的一例假体丰胸是1960年，已经过去几十年了，从第一代到现在第五代，技术也越来越成熟，至今还没有出现丰胸引起的安全问题,"0,0,0,0,0,0,0,0,1"
25748,嗯脂肪粒是皮下油脂分泌过旺导致的,"0,1,0,0,0,0,0,0,0"
12983,等你过几天过来的时候可以提前联系我，,"0,1,0,0,0,0,0,0,0"
1189,您现在是整个面部凹陷还是伴有松弛的现象尼,"0,0,1,0,0,0,0,0,0"
30397,请问您的身高、体重？下巴是后缩还是不够长呢?,"0,0,1,0,0,0,0,0,0"
21571,可以的  眼部整形是我们医院的王牌项目的,"0,0,0,0,0,0,0,0,1"
16801,这样 您微信多少恩？我加您微信,"0,0,0,0,1,0,0,0,0"
6894,你好 稍等下,"0,1,0,0,0,0,0,0,0"
12202,你可以加一下我微信，或者记一下皮肤科电话,"0,1,0,0,0,0,0,0,0"
4501,您是想近期做改善吗,"0,0,0,0,0,0,1,0,0"
3194,你不是已经确诊是宫颈癌了吗 我们是不能随意给你药物的,"1,0,0,0,0,0,0,0,0"
17672,加您了通过一下,"0,1,0,0,0,0,0,0,0"
3427,您好！这里是★商丘妇科医院★【商丘唯一专业妇科 · 专家型平价医院】官方在线咨询挂号平台咨询电话：15879618253   QQ：3472876131挂号，请提供【姓名 联系方式 就诊日期】（本次对话已加密）,"0,1,0,0,0,0,0,0,0"
16217,可以的 怎么称呼您？先生还是女士恩？,"0,0,0,0,0,1,0,0,0"
20441,目前还没有,"0,1,0,0,0,0,0,0,0"
13751,这个是有一定维持时间的，怎么称呼您呢，您今年多大年纪呢,"0,0,0,0,0,1,0,0,0"
8289,我院采用德国进口的微动力带冷光源和自动保护装置的骨系统通过口内 2cm 切口，对颧骨进行降低、磨骨处理，既去除了过高的颧骨，又使得骨表面光滑流畅， 不损伤神经，手术后不留疤痕，恢复快,"0,1,0,0,0,0,0,0,0"
24193,我会帮您转达,"0,1,0,0,0,0,0,0,0"
24394,好 方便加微信吗？你发照片给我看看,"0,0,0,0,1,0,0,0,0"
19582,你主要是对哪方面不满意呢,"0,0,1,0,0,0,0,0,0"
28371,您好，一千多到两千多不等，可以0首付分期付款,"0,0,0,0,0,0,0,1,0"
5470,现在吸脂的方式很多,"0,0,0,0,0,0,0,0,1"
8922,家属多大年龄,"0,0,0,0,0,1,0,0,0"
23692,有的，刚刚正在加你呢,"0,1,0,0,0,0,0,0,0"
18506,有的，做了祛痣和脱毛的,"0,1,0,0,0,0,0,0,0"
16444,是之前有体验过咱们的项目是吗？,"1,0,0,0,0,0,0,0,0"
2284,13761321571这是我的联系电话，电话就是微信,"0,1,0,0,0,0,0,0,0"
14356,您生育过吗  像您26岁正是很有魅力的时候呢  同样作为女性我也是非常理解和同情您的,"1,0,0,0,0,0,0,0,0"
28834,咱们医院无痛激光脱毛主要对生长期毛囊起破坏作用，舒适无痛、治疗速度快的哦.,"0,0,0,0,0,0,0,0,1"
7985,嗯  肌肉萎缩我们医院是比较权威的,"0,0,0,0,0,0,0,0,1"
804,"你家孩子今年多大年龄了,男性还是女性呢?","0,0,0,0,0,1,0,0,0"
28213,都可以选择24期分期的,"0,1,0,0,0,0,0,0,0"
22282,好的，怎么称呼您呢上午10点可以吗,"0,0,0,0,0,0,1,0,0"
10426,嗯 您是叫什么名字呢,"0,0,0,0,0,1,0,0,0"
9583,嗯，请问你是哪个部位的神经损伤了呢？,"0,0,1,0,0,0,0,0,0"
9673,是孩子的胎记的情况吗？,"0,1,0,0,0,0,0,0,0"
15172,三五十至上百都有呢,"0,0,0,0,0,0,0,1,0"
24364,我是鹏程刘助理  您怎么称呼   您多大年纪了,"0,0,0,0,0,1,0,0,0"
7527,你这样吧  您是桂林哪里的孩子呢？,"0,1,0,0,0,0,0,0,0"
967,要帮您安排我院的号位吗,"0,0,0,0,0,0,1,0,0"
3209,这样子，网上描述比较抽象，您的手机号多少呢？我添加一下您的微信详细了解您的鼻部情况,"0,0,0,0,1,0,0,0,0"
9187,你这边提供你的姓名跟手机号，稍后我们会将预约号以及医院详细地址发送到你的手机短信上,"0,0,0,0,1,0,0,0,0"
29486,鼻小柱延长术针对不同的情况通过不同的手术方法在鼻孔、鼻小柱周围进行矫正如果鼻小柱过低，则采取自体组织或者替代非自体材料垫起来，如果过高则需要去除一部分,"0,0,0,0,0,0,0,0,1"
22078,你微信多少 加你,"0,0,0,0,1,0,0,0,0"
20278,这个是目前祛斑最好的仪器，相对价格也会高一些,"0,0,0,0,0,0,0,0,1"
24080,夏女士您好,"0,1,0,0,0,0,0,0,0"
9079,你一直没检查过，是不好意思吗？,"0,1,0,0,0,0,0,0,0"
26036,你每个月分期还就可以了,"0,1,0,0,0,0,0,0,0"
15313,好的，你留个电话给我，确定了时间，我就通知你，,"0,0,0,0,1,0,0,0,0"
20606,这边是美容科，肝病科不清楚哦,"0,1,0,0,0,0,0,0,0"
29559,激光漂红乳头，运用了一种特定的激光，能选择性破坏并减少乳晕中的色素，从而使乳晕重回娇红粉嫩的状态,"0,0,0,0,0,0,0,0,1"
9657,检查费用一千多一点，治疗要看脑部病灶点的数量和放电面积的大小来决定的，几千一两万不等，治疗费用是可以报销的,"0,0,0,0,0,0,0,1,0"
2256,白斑在什么部位,"0,0,1,0,0,0,0,0,0"
658,您好，您多大年龄？月经是是什么情况,"0,0,0,0,0,1,0,0,0"
21775,专家们都在的,"0,1,0,0,0,0,0,0,0"
16878,您还在关注对话吗,"0,1,0,0,0,0,0,0,0"
8093,我帮你预约一下,"0,0,0,0,0,0,1,0,0"
17891,您都可以当场先看看别人注射的效果之后您在安排,"0,1,0,0,0,0,0,0,0"
26830,不考虑来深圳是吧,"0,1,0,0,0,0,0,0,0"
11457,宫外孕早期咱们可以采取保守或者是微创手术 晚期需要切除输卵管,"0,0,0,0,0,0,0,0,1"
19266,可以的，您是想了解哪方面呢,"0,0,0,1,0,0,0,0,0"
25431,是的，方便说一下您的年龄吗？,"0,0,0,0,0,1,0,0,0"
9632,或者您电话多少 我这边直接帮您预约 您这两天有时间吗,"0,0,0,0,1,0,0,0,0"
4618,产后有复查过吗？,"1,0,0,0,0,0,0,0,0"
15262,方便电话沟通吗？打字比较局限,"0,0,0,0,1,0,0,0,0"
20567,不然您安排个时间回来医院复查看看，这样可以看到您的情况，也能清楚解决方案的,"0,0,0,0,0,0,1,0,0"
28082,我先大致了解一下您的具体情况吗？,"0,1,0,0,0,0,0,0,0"
14874,可以带身份证 银行卡办理0首付分期付款,"0,1,0,0,0,0,0,0,0"
2700,张女士吗？,"0,1,0,0,0,0,0,0,0"
3395,请问您贵姓?是哪里的朋友?,"0,0,0,0,0,1,0,0,0"
13002,嗯是双腿还是单腿呢,"0,1,0,0,0,0,0,0,0"
3611,已经检查过了吗 是哪颗牙齿呢,"1,0,0,0,0,0,0,0,0"
23202,好的 稍等 我帮您看看,"0,1,0,0,0,0,0,0,0"
2238,处女膜不是一块膜，是一块很薄、很纤细黏膜皱襞组织，离阴道口5cm处，厚1-2cm，中间有小孔，直径1-1.5cm，呈环状、半圆状、筛状，含有丰富的微血管、神经末梢，微血管就是少量出血，神经末梢能感觉外界疼痛，修复后跟自己的一样,"0,1,0,0,0,0,0,0,0"
28205,目前身高体重大概多少呀？,"0,0,0,0,0,1,0,0,0"
14061,您是想要近期做吗,"0,0,0,0,0,0,1,0,0"
28049,嗯 您做了什么检查呢,"0,1,0,0,0,0,0,0,0"
29776,面部吸脂手术减少了重力作用，减少面部下垂 ,"0,0,0,0,0,0,0,0,1"
1318,是否去检查过,"1,0,0,0,0,0,0,0,0"
10506,你号码多少我给你查下，,"0,0,0,0,1,0,0,0,0"
10616,是胡须稀疏还是没有啊,"0,0,1,0,0,0,0,0,0"
25106,嗯。确实是偏胖的呢，您贵姓呢，今年多大呢,"0,0,0,0,0,1,0,0,0"
11705,你好，你是之前有面诊过医生建议做脂肪填充吗？,"1,0,0,0,0,0,0,0,0"
27183,您有赵助理的微信吗,"0,1,0,0,0,0,0,0,0"
8394,先生 您贵姓呢？,"0,0,0,0,0,1,0,0,0"
3698,但是您在网络上咨询  也只能是了解一下价格,"0,1,0,0,0,0,0,0,0"
16097,好的，之前看过是黄褐斑吗,"1,0,0,0,0,0,0,0,0"
4380,请问您今年多大了 怎么称呼您呢？,"0,0,0,0,0,1,0,0,0"
7990,有的，目前身高、体重分别是多少呢？,"0,0,0,0,0,1,0,0,0"
13507,是想什么时间做治疗呢？,"0,0,0,0,0,0,1,0,0"
26521,请稍等费,"0,1,0,0,0,0,0,0,0"
20483,为了更好给您咨询，冒昧问一下您今年多大年纪呢，怎么称呼您,"0,0,0,0,0,1,0,0,0"
7150,所以我在问你啊 你们在哪个医院看诊的看诊的什么科室,"1,0,0,0,0,0,0,0,0"
7214,您怀孕有多久了?,"0,0,1,0,0,0,0,0,0"
11387,冒昧的问下，您今年多大年龄呢？,"0,0,0,0,0,1,0,0,0"
4982,是嘴唇边缘还是唇红,"0,0,1,0,0,0,0,0,0"
13278,格林巴利治疗费用和病人病情严重程度相关的，我现在也不了解病人情况。,"0,1,0,0,0,0,0,0,0"
5426,您线雕鼻子是哪里做的呢,"1,0,0,0,0,0,0,0,0"
16830,具体要看斑点性质和深浅,"0,1,0,0,0,0,0,0,0"
18164,那就没关系的，手术后当天你就可以去上班,"0,1,0,0,0,0,0,0,0"
18383,嗯，补水是最基础的皮肤护理的,"0,1,0,0,0,0,0,0,0"
11124,从你的身高体重上不是很胖的呢 主要是想抽哪个部位的脂肪呢,"0,0,0,1,0,0,0,0,0"
14901,您好，这个是看您的严重程度确定，是八千多到一万多起不等的,"0,0,0,0,0,0,0,1,0"
9250,当然很多了，要不我们医院也不会接诊十几年了,"0,1,0,0,0,0,0,0,0"
29619,雀斑是表层斑，是很好治疗的，效果是非常好的哦,"0,0,0,0,0,0,0,0,1"
16317,您这边手机号码多少呢，我发您手机上吧,"0,0,0,0,1,0,0,0,0"
3889,我先了解下您的基本情况再给您详细的介绍 请问下怎么称呼您呢？多大了？,"0,0,0,0,0,1,0,0,0"
185,种植牙一直是我们的金牌项目,"0,0,0,0,0,0,0,0,1"
8606,要安排时间来医院详细沟通吗,"0,0,0,0,0,0,1,0,0"
13366,我们阴道紧缩有手术和非手术的方式的，,"0,0,0,0,0,0,0,0,1"
